table_id,author_name,year,volume
6,Bourg,2012,
6,De Paula,2013,
6,DiCostanzo,1991,
6,Early,1990,
6,Faulkner,1989,
6,Fernandez,1996,
6,Fiems,1993,
6,Fitzsimons,2014,
6,Fonseca,2017,
6,Garrett,1968,
6,Jenkins,1997,
6,Long,2010,
6,Long,2012,
6,McEvoy,1998,
6,Moloney,1990,
6,Moseley,1992,
6,Murphy,1994,
6,Olivares,2019,
6,Remling,2017,
6,Robelin,1981,
6,Robertson,1967,
6,Rumsey,1996,
6,Sainz,1997,
6,Sainz,1995,
6,Schlegel,2006,
6,Shahin,1985,b
6,Sprinkle,1998,
6,Swanson,1979,
6,Swett,1933,
6,Talton,2014,
6,Terry,1990,
6,Velazco,1997,
6,Wood,2013,
