table_id,author_name,year,reference_number,volume
45,Bond,1958,1,
45,Jankowski,2010,2,
45,Koike,1983,3,
45,May,1971,4,
45,Rodnan,1957,5,
45,Sadeghi,2012,6,
45,Wideman,2000,7,
45,Toghyani,2010,8,
45,Wideman,1999,9,
45,Wyse,1971,10,
45,Yersin,1992,11,
45,Buys,1999,12,
45,Cloud,1992,13,
45,Rath,2006,14,
45,Bailey,1984,15,
45,Wideman,1999,16,
45,Whittow,1964,17,
45,Wideman,1993,18,
45,Sturkie,1966,19,
45,Sturkie,1967,20,
46,Allen,1981,1,
46,Bayyari,1997,2,
46,Huff,1996,3,
46,Huff,2010,4,
46,Kubena,1995,5,a
46,Kubena,1997,6,
46,Ledoux,1996,7,
46,Weibking,1993,8,
