animal_id,organ_id,mean,standard_deviation,sample_size,number_of_studies,references
11,27,0.005,0.001,111,3,"1,2,3"
11,2,15.44,2.65,244,6,"4,5,6,7,8,9"
11,3,4.12,0.46,302,5,"1,8,10,11,12"
11,4,10.7,0.92,166,2,"6,8"
11,5,0.22,0.18,37,1,13
11,6,,,,,
11,38,0.61,0.09,2069,17,"11,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29"
11,12,3.69,0.64,140,2,"11, 30"
11,13,2.19,0.39,626,18,"1, 8, 14,15,16,17,1819, 21, 22, 24, 25,26,27,28,29, 31, 32"
11,14,1.47,0.39,282,11,"1, 14, 15, 17,18,19, 21, 22, 25, 27, 28"
11,15,0.2,0.03,135,5,"16, 17, 19, 20, 29"
11,16,1.68,0.24,59,3,"19, 20, 33"
11,17,0.37,0.07,2555,28,"1, 8, 10, 11, 13,14,15,16,17, 20,21,22,23,24,25,26,27,28,29, 31, 34,35,36,37,38,39,40,41"
11,18,0.37,0.11,3261,32,"1, 3, 8,9,10, 13,14,15,16,17, 19,20,21,22,23,24,25,26,27,28,29, 31, 34,35,36,37, 39,40,41,42,43,44 "
11,19,2.04,0.33,4992,39,"1,2,3,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46"
11,20,0.9,0.2,419,10,"10, 11, 15, 17, 24, 25, 29, 38, 39, 41"
11,21,36.32,2.66,110,3,"6, 19, 34"
11,22,0.15,0.11,421,10,"1, 8, 15, 16, 21, 22, 27,28,29, 33, 37, 47"
11,23,0.2,0.06,3817,23,"1, 8, 10, 12, 14, 16, 17, 21,22,23,24,25, 27,28,29, 3, 34, 37, 39, 41,42,43,44,45"
11,24,0.011,0.01,158,6,"3, 17, 20, 35, 37, 46"
11,25,0.28,0.03,8,1,1
11,39,5.28,0.81,166,2,"6, 8"
11,26,19.29,,,,
,,,,,,
